NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_
03440054,01,2017,005400,2,145.8333,
03440054,02,2017,005400,2,145.8333,
03440054,03,2017,005400,2,145.8333,
03440054,01,2017,005410,2,145.8333,
03440054,02,2017,005410,2,145.8333,
03440054,03,2017,005410,2,145.8333,
03440054,01,2017,800940,2,224.8833,
03440054,02,2017,800940,2,224.8833,
03440054,03,2017,800940,2,224.8833,
03440054,01,2017,900000,2,2939.7500,
03440054,02,2017,900000,2,2939.7500,
03440054,03,2017,900000,2,2939.7500,
03440054,01,2017,980000,2,2939.7500,
03440054,02,2017,980000,2,2939.7500,
03440054,03,2017,980000,2,2939.7500,
03440054,01,2017,980010,2,0.0833,
03440054,02,2017,980010,2,0.0833,
03440054,03,2017,980010,2,0.0833,
03440054,01,2017,980020,2,1.9167,
03440054,02,2017,980020,2,1.9167,
03440054,03,2017,980020,2,1.9167,
03440054,01,2017,980030,2,0.0833,
03440054,02,2017,980030,2,0.0833,
03440054,03,2017,980030,2,0.0833,
03440054,01,2017,980220,2,8.3333,
03440054,02,2017,980220,2,8.3333,
03440054,03,2017,980220,2,8.3333,
03440054,01,2017,980260,2,8.3333,
03440054,02,2017,980260,2,8.3333,
03440054,03,2017,980260,2,8.3333,
03440054,01,2017,980270,2,8.3333,
03440054,02,2017,980270,2,8.3333,
03440054,03,2017,980270,2,8.3333,
03440054,01,2017,980286,2,8.3333,
03440054,02,2017,980286,2,8.3333,
03440054,03,2017,980286,2,8.3333,
03440054,01,2017,980310,2,8.3333,
03440054,02,2017,980310,2,8.3333,
03440054,03,2017,980310,2,8.3333,
03440064,01,2017,005100,2,2083.3333,
03440064,02,2017,005100,2,2083.3333,
03440064,03,2017,005100,2,2083.3333,
03440064,01,2017,005110,2,1833.3333,
03440064,02,2017,005110,2,1833.3333,
03440064,03,2017,005110,2,1833.3333,
03440064,01,2017,005200,2,1666.6667,
03440064,02,2017,005200,2,1666.6667,
03440064,03,2017,005200,2,1666.6667,
03440064,01,2017,005210,2,1500.0000,
03440064,02,2017,005210,2,1500.0000,
03440064,03,2017,005210,2,1500.0000,
03440064,01,2017,005400,2,520.8333,
03440064,02,2017,005400,2,520.8333,
03440064,03,2017,005400,2,520.8333,
03440064,01,2017,005410,2,1875.0000,
03440064,02,2017,005410,2,1875.0000,
03440064,03,2017,005410,2,1875.0000,
03440064,01,2017,005420,2,25.0000,
03440064,02,2017,005420,2,25.0000,
03440064,03,2017,005420,2,25.0000,
03440064,01,2017,800940,2,911.6667,
03440064,02,2017,800940,2,911.6667,
03440064,03,2017,800940,2,911.6667,
03440064,01,2017,900000,2,11916.6667,
03440064,02,2017,900000,2,11916.6667,
03440064,03,2017,900000,2,11916.6667,
03440064,01,2017,980000,2,11916.6667,
03440064,02,2017,980000,2,11916.6667,
03440064,03,2017,980000,2,11916.6667,
03440064,01,2017,980010,2,0.1667,
03440064,02,2017,980010,2,0.1667,
03440064,03,2017,980010,2,0.1667,
03440064,01,2017,980020,2,3.3333,
03440064,02,2017,980020,2,3.3333,
03440064,03,2017,980020,2,3.3333,
03440064,01,2017,980030,2,0.1667,
03440064,02,2017,980030,2,0.1667,
03440064,03,2017,980030,2,0.1667,
03440064,01,2017,980040,2,0.0833,
03440064,02,2017,980040,2,0.0833,
03440064,03,2017,980040,2,0.0833,
03440064,01,2017,980090,1,8.3333,
03440064,02,2017,980090,1,8.3333,
03440064,03,2017,980090,1,8.3333,
03440064,01,2017,980210,2,8.3333,
03440064,02,2017,980210,2,8.3333,
03440064,03,2017,980210,2,8.3333,
03440064,01,2017,980230,2,8.3333,
