series_id,area_code,item_code,seasonal,periodicity_code,base_code,base_period,series_title,footnote_codes,begin_year,begin_period,end_year,end_period,item_name,area_name,category,requested_area_code,fallback_to_national
CUUR0000SAF,0000,SAF,U,R,S,1982-84=100,"Food and beverages in U.S. city average, all urban consumers, not seasonally adjusted",nan,1967,M01,2026,M02,Food and beverages,U.S. city average,food_beverages,0000,False
CUUR0100SAF,0100,SAF,U,R,S,1982-84=100,"Food and beverages in Northeast urban, all urban consumers, not seasonally adjusted",nan,1977,M12,2026,M02,Food and beverages,Northeast,food_beverages,0100,False
CUUR0200SAF,0200,SAF,U,R,S,1982-84=100,"Food and beverages in Midwest urban, all urban consumers, not seasonally adjusted",nan,1977,M12,2026,M02,Food and beverages,Midwest,food_beverages,0200,False
CUUR0300SAF,0300,SAF,U,R,S,1982-84=100,"Food and beverages in South urban, all urban consumers, not seasonally adjusted",nan,1977,M12,2026,M02,Food and beverages,South,food_beverages,0300,False
CUUR0400SAF,0400,SAF,U,R,S,1982-84=100,"Food and beverages in West urban, all urban consumers, not seasonally adjusted",nan,1977,M12,2026,M02,Food and beverages,West,food_beverages,0400,False
CUUR0000SAH,0000,SAH,U,R,S,1982-84=100,"Housing in U.S. city average, all urban consumers, not seasonally adjusted",nan,1967,M01,2026,M02,Housing,U.S. city average,housing,0000,False
CUUR0100SAH,0100,SAH,U,R,S,1982-84=100,"Housing in Northeast urban, all urban consumers, not seasonally adjusted",nan,1977,M12,2026,M02,Housing,Northeast,housing,0100,False
CUUR0200SAH,0200,SAH,U,R,S,1982-84=100,"Housing in Midwest urban, all urban consumers, not seasonally adjusted",nan,1977,M12,2026,M02,Housing,Midwest,housing,0200,False
CUUR0300SAH,0300,SAH,U,R,S,1982-84=100,"Housing in South urban, all urban consumers, not seasonally adjusted",nan,1977,M12,2026,M02,Housing,South,housing,0300,False
CUUR0400SAH,0400,SAH,U,R,S,1982-84=100,"Housing in West urban, all urban consumers, not seasonally adjusted",nan,1977,M12,2026,M02,Housing,West,housing,0400,False
CUUR0000SA311,0000,SA311,U,R,S,1982-84=100,"Apparel less footwear in U.S. city average, all urban consumers, not seasonally adjusted",nan,1947,M01,2026,M02,Apparel less footwear,U.S. city average,apparel,0000,False
CUUR0000SA311,0000,SA311,U,R,S,1982-84=100,"Apparel less footwear in U.S. city average, all urban consumers, not seasonally adjusted",nan,1947,M01,2026,M02,Apparel less footwear,U.S. city average,apparel,0100,True
CUUR0000SA311,0000,SA311,U,R,S,1982-84=100,"Apparel less footwear in U.S. city average, all urban consumers, not seasonally adjusted",nan,1947,M01,2026,M02,Apparel less footwear,U.S. city average,apparel,0200,True
CUUR0000SA311,0000,SA311,U,R,S,1982-84=100,"Apparel less footwear in U.S. city average, all urban consumers, not seasonally adjusted",nan,1947,M01,2026,M02,Apparel less footwear,U.S. city average,apparel,0300,True
CUUR0000SA311,0000,SA311,U,R,S,1982-84=100,"Apparel less footwear in U.S. city average, all urban consumers, not seasonally adjusted",nan,1947,M01,2026,M02,Apparel less footwear,U.S. city average,apparel,0400,True
CUUR0000SAT,0000,SAT,U,R,S,1982-84=100,"Transportation in U.S. city average, all urban consumers, not seasonally adjusted",nan,1935,M03,2026,M02,Transportation,U.S. city average,transportation,0000,False
CUUR0100SAT,0100,SAT,U,R,S,1982-84=100,"Transportation in Northeast urban, all urban consumers, not seasonally adjusted",nan,1966,M12,2026,M02,Transportation,Northeast,transportation,0100,False
