row_code,11,21,22,23,31G,42,44RT,48TW,51,FIRE,PROF,6,7,81,G
11,1.3272642,0.0083235,0.0053098,0.0163053,0.0767221,0.0044676,0.0036029,0.007985,0.0035165,0.0020875,0.0043651,0.006255,0.0087584,0.0056355,0.009404
21,0.0137207,1.096799,0.0255142,0.0187835,0.0498369,0.0033686,0.0026508,0.0059689,0.0031703,0.0019582,0.0032606,0.005457,0.0072961,0.0056888,0.0134842
22,0.0350189,0.0263035,1.025257,0.0135579,0.0240835,0.0127415,0.0272984,0.0154241,0.0101788,0.0129423,0.00843,0.0141063,0.0282568,0.0123877,0.0134354
23,0.0095253,0.0163645,0.0222292,1.0041213,0.009146,0.0065218,0.0093827,0.0113907,0.0054857,0.0258329,0.0047479,0.0083663,0.0106157,0.0083314,0.0293152
31G,0.2422852,0.1369903,0.0789682,0.2741526,1.3733708,0.0745724,0.0474637,0.1353498,0.0581894,0.0335492,0.0572399,0.103899,0.1260145,0.0904311,0.1362072
42,0.1554149,0.0482718,0.0287906,0.0818177,0.116958,1.0430909,0.025279,0.0429964,0.0281499,0.0136558,0.0207783,0.0366007,0.0413094,0.0301286,0.0370175
44RT,0.0065094,0.0034563,0.006958,0.0490847,0.0063204,0.002171,1.0043805,0.0128121,0.0015644,0.003258,0.0024275,0.0018814,0.0078083,0.0111045,0.0027557
48TW,0.0659266,0.0436109,0.0505067,0.0386556,0.0622548,0.0691036,0.0521176,1.1530317,0.021198,0.0157396,0.0251963,0.0232242,0.0254264,0.0178038,0.0353426
51,0.0126894,0.012276,0.0314751,0.0144819,0.0148007,0.0230169,0.0277134,0.0184475,1.1642945,0.0238659,0.0429473,0.0258647,0.0301034,0.0270055,0.0490909
FIRE,0.1036033,0.1191601,0.0880004,0.0766065,0.074437,0.1542285,0.1735706,0.1665333,0.1108656,1.2599875,0.1290528,0.1398878,0.1462924,0.1514242,0.0568975
PROF,0.0810252,0.1412665,0.1347137,0.1037432,0.1137335,0.2206046,0.1594244,0.1321536,0.1952535,0.1342985,1.1997141,0.1538311,0.1675326,0.12046,0.1217483
6,0.00035,0.0001852,0.0019634,0.0002832,0.0002836,0.0012049,0.0022135,0.0006358,0.0002914,0.0002017,0.0003436,1.0149035,0.0019527,0.002399,0.0061684
7,0.0077034,0.0077873,0.0135914,0.006058,0.0074646,0.01634,0.0124656,0.0167431,0.037928,0.0231046,0.0261956,0.0249564,1.0375744,0.0120304,0.0105778
81,0.005839,0.0053958,0.0083345,0.0074013,0.0074202,0.0135704,0.0110845,0.015049,0.0086958,0.0121535,0.0130535,0.0122101,0.0129445,1.0113655,0.012695
G,0.0030172,0.0016223,0.0033771,0.0021393,0.0036307,0.0131038,0.0063631,0.0089803,0.0030391,0.0029209,0.003479,0.0041742,0.0078292,0.0035603,1.0048139
