year,free_credit_total_millions,source_file,source_location_or_table,extraction_rule_used,raw_extracted_values,status,notes
1947,612.0,broker free-credit balances/1947-1969/frb_021948.pdf,"p.106, Stock Market Credit row 'Customers' free credit balances' (Oct/Nov/Dec)",Era1 direct row extraction from Bulletin; use Dec from Feb(y+1) report,"row_values=[616,617,612]; selected_dec=612",ok,December inferred from February Bulletin dating rule (frb_02(y+1)).
1948,586.0,broker free-credit balances/1947-1969/frb_021949.pdf,"p.79, Stock Market Credit row 'Customers' free credit balances' (Oct/Nov/Dec)",Era1 direct row extraction from Bulletin; use Dec from Feb(y+1) report,"row_values=[540,563,586]; selected_dec=586",ok,December inferred from February Bulletin dating rule (frb_02(y+1)).
1949,633.0,broker free-credit balances/1947-1969/frb_021950.pdf,"p.109, Stock Market Credit row 'Customers' free credit balances' (Oct/Nov/Dec)",Era1 direct row extraction from Bulletin; use Dec from Feb(y+1) report,"row_values=[586,596,633]; selected_dec=633",ok,December inferred from February Bulletin dating rule (frb_02(y+1)).
1950,890.0,broker free-credit balances/1947-1969/frb_021951.pdf,"p.99, Stock Market Credit row 'Customers' free credit balances' (Oct/Nov/Dec)",Era1 direct row extraction from Bulletin; use Dec from Feb(y+1) report,"row_values=[771,796,890]; selected_dec=890",ok,December inferred from February Bulletin dating rule (frb_02(y+1)).
1951,816.0,broker free-credit balances/1947-1969/frb_021952.pdf,"p.59, CUSTOMERS' DEBIT BALANCES... table; Customers' credit balances -> Free",Era1 Bulletin table-anchored extraction (frb_02(y+1)); prior-year December Free only,date=1951-Dec; free=816,ok,December inferred from February Bulletin dating rule (frb_021952 for 1951).
1952,724.0,broker free-credit balances/1947-1969/frb_021953.pdf,"p.61, CUSTOMERS' DEBIT BALANCES... table; Customers' credit balances -> Free",Era1 Bulletin table-anchored extraction (frb_02(y+1)); prior-year December Free only,date=1952-Dec; free=724,ok,December inferred from February Bulletin dating rule (frb_021953 for 1952).
1953,712.0,broker free-credit balances/1947-1969/frb_021954.pdf,"p.55, CUSTOMERS' DEBIT BALANCES... table; Customers' credit balances -> Free",Era1 Bulletin table-anchored extraction (frb_02(y+1)); prior-year December Free only,date=1953-Dec; free=712,ok,December inferred from February Bulletin dating rule (frb_021954 for 1953).
1954,1019.0,broker free-credit balances/1947-1969/frb_021955.pdf,"p.66, CUSTOMERS' DEBIT BALANCES... table; Customers' credit balances -> Free",Era1 Bulletin table-anchored extraction (frb_02(y+1)); prior-year December Free only,"date=1954-Dec; free=1,019",ok,December inferred from February Bulletin dating rule (frb_021955 for 1954).
1955,895.0,broker free-credit balances/1947-1969/frb_021956.pdf,"p.51, STOCK MARKET CREDIT table; Customers' net free credit balances",Era1 Bulletin table-anchored extraction (frb_02(y+1)); prior-year December Free only,date=1955-Dec; free=895,ok,December inferred from February Bulletin dating rule (frb_021956 for 1955).
1956,880.0,broker free-credit balances/1947-1969/frb_021957.pdf,"p.62, STOCK MARKET CREDIT table; Customers' net free credit balances",Era1 Bulletin table-anchored extraction (frb_02(y+1)); prior-year December Free only,date=1956-Dec; free=880,ok,December inferred from February Bulletin dating rule (frb_021957 for 1956).
