scope,era_id,metric,before,after,change
overall,,cells_total,87963,87963,0
overall,,reported_cells,85034,85393,359
overall,,extraction_errors,1912,1496,-416
overall,,ocr_candidate_conflicts,14644,30966,16322
overall,,blank_cells,451,447,-4
overall,,not_available_cells,566,627,61
overall,,missing_tables,0,0,0
overall,,false_positive_table_pages,,0,
overall,,inferred_dates,652,739,87
overall,,contradictory_month_assignments,16,0,-16
overall,,duplicate_physical_keys,0,0,0
overall,,failed_all_bank_checks,505,1355,850
overall,,failed_component_total_checks,757,143,-614
overall,,failed_turnover_ratio_checks,2904,3780,876
overall,,low_confidence_cells,7899,12488,4589
overall,,embedded_only_numeric_candidates,344,118,-226
overall,,selected_embedded_values,3361,0,-3361
overall,,non_one_decimal_reported_values,1367,0,-1367
overall,,true_high_resolution_attempts,0,27300,27300
overall,,true_high_resolution_recoveries,0,3868,3868
overall,,unresolved_row_offsets,0,0,0
overall,,complete_date_sequence_failures,4,0,-4
overall,,additive_validation_failures,1262,1498,236
overall,,component_mapping_failures,0,0,0
overall,,stale_issue_count_mismatches,2996,0,-2996
overall,,manual_review_queue_size,,15790,
overall,,demoted_reported_cells,0,0,0
era,1,cells_total,7722,7722,0
era,1,reported_cells,7096,7100,4
era,1,extraction_errors,244,240,-4
era,1,ocr_candidate_conflicts,1458,2212,754
era,1,blank_cells,382,382,0
era,1,not_available_cells,0,0,0
era,1,missing_tables,0,0,0
era,1,false_positive_table_pages,,0,
era,1,inferred_dates,0,0,0
era,1,contradictory_month_assignments,3,0,-3
era,1,duplicate_physical_keys,0,0,0
era,1,failed_all_bank_checks,39,109,70
era,1,failed_component_total_checks,11,34,23
era,1,failed_turnover_ratio_checks,25,143,118
era,1,low_confidence_cells,979,1541,562
era,1,embedded_only_numeric_candidates,10,5,-5
era,1,selected_embedded_values,449,0,-449
era,1,non_one_decimal_reported_values,112,0,-112
era,1,true_high_resolution_attempts,0,1737,1737
era,1,true_high_resolution_recoveries,0,363,363
era,1,unresolved_row_offsets,0,0,0
era,1,complete_date_sequence_failures,1,0,-1
era,1,additive_validation_failures,50,143,93
era,1,component_mapping_failures,0,0,0
era,1,stale_issue_count_mismatches,411,0,-411
era,1,manual_review_queue_size,,972,
era,1,demoted_reported_cells,0,0,0
era,2,cells_total,7917,7917,0
era,2,reported_cells,7881,7853,-28
era,2,extraction_errors,31,54,23
era,2,ocr_candidate_conflicts,1251,2973,1722
era,2,blank_cells,3,3,0
era,2,not_available_cells,2,7,5
era,2,missing_tables,0,0,0
era,2,false_positive_table_pages,,0,
era,2,inferred_dates,15,19,4
era,2,contradictory_month_assignments,1,0,-1
era,2,duplicate_physical_keys,0,0,0
