file_path,inferred_type,size_bytes,structure
.DS_Store,unknown,10244,
Avg_Elasticity.ipynb,notebook,2137,cells=4
Demand Elasticity/.DS_Store,unknown,10244,
Demand Elasticity/RPP_Table.csv,csv,43722,columns=21:GeoFIPS|GeoName|LineCode|Description|2008|2009|2010|2011|2012|2013|...
Demand Elasticity/SUPPLY-USE/Supply_Detail.xlsx,excel,1610518,sheets=4:NAICS Codes|2007|2012|2017
Demand Elasticity/SUPPLY-USE/Supply_Sector.xlsx,excel,125479,sheets=28:1997|1998|1999|2000|2001|2002|2003|2004|...
Demand Elasticity/SUPPLY-USE/Supply_Summary.xlsx,excel,822838,sheets=28:1997|1998|1999|2000|2001|2002|2003|2004|...
Demand Elasticity/SUPPLY-USE/Use_SUT_Detail.xlsx,excel,2121639,sheets=4:NAICS Codes|2007|2012|2017
Demand Elasticity/SUPPLY-USE/Use_Sector.xlsx,excel,152942,sheets=28:1997|1998|1999|2000|2001|2002|2003|2004|...
Demand Elasticity/SUPPLY-USE/Use_Summary.xlsx,excel,1161293,sheets=28:1997|1998|1999|2000|2001|2002|2003|2004|...
Demand Elasticity/TOTAL AND DOMESTIC REQUIREMENTS/CxC_Domestic_Detail.xlsx,excel,3715917,sheets=4:NAICS Codes|2007|2012|2017
Demand Elasticity/TOTAL AND DOMESTIC REQUIREMENTS/CxC_Domestic_Sector.xlsx,excel,124396,sheets=28:1997|1998|1999|2000|2001|2002|2003|2004|...
Demand Elasticity/TOTAL AND DOMESTIC REQUIREMENTS/CxC_Domestic_Summary.xlsx,excel,1365831,sheets=28:1997|1998|1999|2000|2001|2002|2003|2004|...
Demand Elasticity/TOTAL AND DOMESTIC REQUIREMENTS/CxC_TR_Detail.xlsx,excel,3816117,sheets=4:NAICS Codes|2007|2012|2017
Demand Elasticity/TOTAL AND DOMESTIC REQUIREMENTS/CxC_TR_Sector.xlsx,excel,127192,sheets=28:1997|1998|1999|2000|2001|2002|2003|2004|...
Demand Elasticity/TOTAL AND DOMESTIC REQUIREMENTS/CxC_TR_Summary.xlsx,excel,1390205,sheets=28:1997|1998|1999|2000|2001|2002|2003|2004|...
Demand Elasticity/TOTAL AND DOMESTIC REQUIREMENTS/IxC_Domestic_Detail.xlsx,excel,3833787,sheets=4:NAICS Codes|2007|2012|2017
Demand Elasticity/TOTAL AND DOMESTIC REQUIREMENTS/IxC_Domestic_Sector.xlsx,excel,117585,sheets=28:1997|1998|1999|2000|2001|2002|2003|2004|...
Demand Elasticity/TOTAL AND DOMESTIC REQUIREMENTS/IxC_Domestic_Summary.xlsx,excel,1367646,sheets=28:1997|1998|1999|2000|2001|2002|2003|2004|...
Demand Elasticity/TOTAL AND DOMESTIC REQUIREMENTS/IxC_TR_Detail.xlsx,excel,3908665,sheets=4:NAICS Codes|2007|2012|2017
Demand Elasticity/TOTAL AND DOMESTIC REQUIREMENTS/IxC_TR_Sector.xlsx,excel,117631,sheets=28:1997|1998|1999|2000|2001|2002|2003|2004|...
Demand Elasticity/TOTAL AND DOMESTIC REQUIREMENTS/IxC_TR_Summary.xlsx,excel,1386835,sheets=28:1997|1998|1999|2000|2001|2002|2003|2004|...
Demand Elasticity/TOTAL AND DOMESTIC REQUIREMENTS/IxI_Domestic_Detail.xlsx,excel,3844408,sheets=4:NAICS Codes|2007|2012|2017
Demand Elasticity/TOTAL AND DOMESTIC REQUIREMENTS/IxI_Domestic_Sector.xlsx,excel,108782,sheets=28:1997|1998|1999|2000|2001|2002|2003|2004|...
Demand Elasticity/TOTAL AND DOMESTIC REQUIREMENTS/IxI_Domestic_Summary.xlsx,excel,1332978,sheets=28:1997|1998|1999|2000|2001|2002|2003|2004|...
Demand Elasticity/TOTAL AND DOMESTIC REQUIREMENTS/IxI_TR_Detail.xlsx,excel,3913577,sheets=4:NAICS Codes|2007|2012|2017
