system,commodity_code,commodity_name,category,weight,column_sum
8cat,11,"Agriculture, forestry, fishing, and hunting",food_beverages,0.03223554491014151,1.0
8cat,31G,Manufacturing,food_beverages,0.7292965668539697,1.0
8cat,42,Wholesale trade,food_beverages,0.0,1.0
8cat,44RT,Retail trade,food_beverages,0.0011888528823413755,1.0
8cat,7,"Arts, entertainment, recreation, accommodation, and food services",food_beverages,0.2372790353535474,1.0
8cat,22,Utilities,housing,0.06512344936865706,1.0
8cat,23,Construction,housing,0.0,1.0
8cat,FIRE,"Finance, insurance, real estate, rental, and leasing",housing,0.7843931123727119,1.0
8cat,81,"Other services, except government",housing,0.150483438258631,1.0
8cat,31G,Manufacturing,apparel,0.9983725166167307,1.0
8cat,42,Wholesale trade,apparel,0.0,1.0
8cat,44RT,Retail trade,apparel,0.00162748338326934,1.0
8cat,21,Mining,transportation,0.001410210940534698,1.0
8cat,44RT,Retail trade,transportation,0.025223353768725407,1.0
8cat,48TW,Transportation and warehousing,transportation,0.9733664352907399,1.0
8cat,6,"Educational services, health care, and social assistance",medical_care,1.0,1.0
8cat,7,"Arts, entertainment, recreation, accommodation, and food services",recreation,0.6749502560081968,1.0
8cat,51,Information,recreation,0.3250497439918032,1.0
8cat,51,Information,education_communication,0.15268776088795905,1.0
8cat,6,"Educational services, health care, and social assistance",education_communication,0.7756963172418855,1.0
8cat,PROF,Professional and business services,education_communication,0.0716159218701555,1.0
8cat,81,"Other services, except government",other_goods_services,0.15033920757110905,1.0
8cat,FIRE,"Finance, insurance, real estate, rental, and leasing",other_goods_services,0.7836413116483655,1.0
8cat,PROF,Professional and business services,other_goods_services,0.0660194807805255,1.0
top_tier,11,"Agriculture, forestry, fishing, and hunting",non_durables,0.04226387683611633,0.9999999999999999
top_tier,31G,Manufacturing,non_durables,0.9561774235378776,0.9999999999999999
top_tier,42,Wholesale trade,non_durables,0.0,0.9999999999999999
top_tier,44RT,Retail trade,non_durables,0.0015586996260060187,0.9999999999999999
top_tier,6,"Educational services, health care, and social assistance",consumer_services,0.5240723101692778,1.0
top_tier,7,"Arts, entertainment, recreation, accommodation, and food services",consumer_services,0.21420304924911351,1.0
top_tier,51,Information,consumer_services,0.10315818936416908,1.0
top_tier,PROF,Professional and business services,consumer_services,0.04838481347036139,1.0
top_tier,81,"Other services, except government",consumer_services,0.11018163774707825,1.0
top_tier,22,Utilities,utilities_public_services,0.27700986275635336,0.9999999999999999
top_tier,81,"Other services, except government",utilities_public_services,0.6400981057245734,0.9999999999999999
top_tier,G,Government,utilities_public_services,0.08289203151907322,0.9999999999999999
top_tier,23,Construction,housing,0.0,1.0
top_tier,FIRE,"Finance, insurance, real estate, rental, and leasing",housing,0.839033893665419,1.0
top_tier,81,"Other services, except government",housing,0.16096610633458094,1.0
top_tier,21,Mining,transportation,0.001410210940534698,1.0
top_tier,48TW,Transportation and warehousing,transportation,0.9733664352907399,1.0
top_tier,44RT,Retail trade,transportation,0.025223353768725407,1.0
top_tier,7,"Arts, entertainment, recreation, accommodation, and food services",leisure,0.6749502560081968,1.0
top_tier,51,Information,leisure,0.3250497439918032,1.0
